2281,535,932,6656,0
1664,347,950,4022,0
4153,801,2058,9518,0
3870,1124,2888,12816,0
5405,1929,4484,21745,0
8777,3258,6562,38692,4
6791,2807,6127,35329,4
6274,3170,7114,49969,2
2309,885,2293,21437,2
1488,753,2617,17228,0
