9516,31884,104880,88716
5950,21030,76540,58357
17126,57946,200864,156416
18460,68984,222397,191075
22086,96303,305466,272926
26702,116253,393483,384090
13482,68922,262308,270568
9606,53471,252586,304263
2083,13479,86689,116831
1397,11661,85753,129204
