14132,66349,75366
51903,60864,77416
6062,43462,53168
5337,43004,55607
15667,52996,62048
2389,44933,59486
5346,38500,49463
29999,50851,62181
8999,41040,54364
8384,45998,58696
12109,52092,62649
3552,45876,60456
6219,45518,55799
3920,43598,51713
4036,46069,57446
12998,58898,68788
15112,50924,60308
3438,31966,46231
2891,46777,53276
10292,43822,57480
3700,48903,63280
22418,47103,60525
12785,56132,64298
9770,38063,51593
18179,45213,55919
20863,65479,75720
9321,36550,49758
27863,47259,58594
4814,44034,54485
8797,46536,57893
7684,43481,55962
1991,31809,44412
3923,38048,51361
4835,54725,63863
26581,52214,68524
14635,47380,58353
166244,59095,80639
4435,42470,52560
25263,55673,67337
9576,48486,57781
33438,61629,76673
23059,57858,75139
2621,40783,58964
5079,41233,50566
87328,75766,95150
5734,48116,65415
8912,41733,54556
24209,48952,62701
104815,52234,66681
5653,36807,47888
57030,56684,74553
31975,55536,69855
2307,32108,44356
5221,38728,47889
7900,46574,62537
6133,45076,60359
13510,42730,56831
23181,57643,70096
53404,82558,100582
3179,35594,43421
22367,43074,55996
11634,46839,60627
44487,58922,74265
18082,46245,60178
4834,50376,60270
2572,26739,42839
6560,41113,54200
279,67750,81744
623,87159,99072
69974,90466,110096
3226,53224,70049
261,96458,99748
414,99091,105670
875,56089,79353
22895,82930,96382
673,68207,71429
578,60000,77581
8012,95112,111220
14479,75689,90449
3343,85638,94234
3403,73887,84957
381,53828,67149
22437,81821,94064
2077,47078,68463
1432,82500,93625
1464,57866,73225
955,84861,95277
1436,53333,68401
2308,78000,89969
228,77500,108829
1563,66369,78154
2571,88480,94131
1451,40750,49917
646,55286,73856
161,80875,86245
1222,46875,57561
12996,37095,47433
32607,55120,67932
29860,59308,76491
13546,48958,57806
8050,50583,60022
2431,48074,55883
6348,42729,53040
930395,63910,83160
51645,47136,58795
24763,43516,55082
238028,57757,74537
89831,55282,66298
11376,41774,56421
56865,53015,67035
54380,44302,56737
5206,50137,63774
6078,45612,55977
12120,45499,57964
61061,61706,81517
10732,47585,60382
3234,39659,51689
1357,44638,51524
7501,46669,58319
2942,34451,52104
5354,48735,58286
4397,41121,50306
7166,49059,63075
2496,47576,59805
6505,47472,58747
5747,46002,57475
25840,52466,70430
17580,46113,57051
12749,48372,59459
4736,48100,56033
2072,39681,52526
3381,39937,53871
4984,39884,50112
28430,65155,76430
4764,43053,56025
3468,41720,52653
25627,48388,64002
5031,58808,68650
11548,48011,57916
5525,43407,52434
8485,49541,56593
3701,40970,54051
10017,44442,59144
3870,39717,48912
4248,38639,48650
18108,48562,62197
7072,37119,58231
1708,38913,52874
4376,42457,48138
2169,32986,42384
2992,40936,53178
3844,48406,55168
5650,46489,58126
18783,60786,68849
4305,43373,55501
4722,42333,49957
11334,51790,59668
11680,42286,55525
2169,35422,48246
2633,39469,53710
2382,42500,50450
2413,37243,49591
6927,42354,52400
2811,50840,63217
5465,34684,50686
3177,37440,52509
6353,39616,48331
5638,38275,50803
15877,47074,60919
2485,43408,48717
94427,58688,80803
5215,45492,53011
6263,34705,48084
29595,66936,76152
3210,42333,53240
2112,39444,48721
32107,50511,69130
4142,44267,50699
4584,40550,48564
3262,39665,51684
11691,46952,58855
4822,42607,52175
50143,54190,72838
20938,51449,65323
2001,36902,54241
5344,41469,51161
354289,88618,113258
