"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Franklin County, Arkansas","4764","43053","56025"
"Fulton County, Arkansas","3468","41720","52653"
"Garland County, Arkansas","25627","48388","64002"
"Grant County, Arkansas","5031","58808","68650"
"Greene County, Arkansas","11548","48011","57916"
"Hempstead County, Arkansas","5525","43407","52434"
"Hot Spring County, Arkansas","8485","49541","56593"
"Howard County, Arkansas","3701","40970","54051"
"Independence County, Arkansas","10017","44442","59144"
"Izard County, Arkansas","3870","39717","48912"
"Jackson County, Arkansas","4248","38639","48650"
"Jefferson County, Arkansas","18108","48562","62197"
"Johnson County, Arkansas","7072","37119","58231"
"Lafayette County, Arkansas","1708","38913","52874"
"Lawrence County, Arkansas","4376","42457","48138"
"Lee County, Arkansas","2169","32986","42384"
"Lincoln County, Arkansas","2992","40936","53178"
"Little River County, Arkansas","3844","48406","55168"
"Logan County, Arkansas","5650","46489","58126"
"Lonoke County, Arkansas","18783","60786","68849"
"Madison County, Arkansas","4305","43373","55501"
"Marion County, Arkansas","4722","42333","49957"
"Miller County, Arkansas","11334","51790","59668"
"Mississippi County, Arkansas","11680","42286","55525"
"Monroe County, Arkansas","2169","35422","48246"
"Montgomery County, Arkansas","2633","39469","53710"
"Nevada County, Arkansas","2382","42500","50450"
"Newton County, Arkansas","2413","37243","49591"
"Ouachita County, Arkansas","6927","42354","52400"
"Perry County, Arkansas","2811","50840","63217"
"Phillips County, Arkansas","5465","34684","50686"
"Pike County, Arkansas","3177","37440","52509"
"Poinsett County, Arkansas","6353","39616","48331"
"Polk County, Arkansas","5638","38275","50803"
"Pope County, Arkansas","15877","47074","60919"
"Prairie County, Arkansas","2485","43408","48717"
"Pulaski County, Arkansas","94427","58688","80803"
"Randolph County, Arkansas","5215","45492","53011"
"St. Francis County, Arkansas","6263","34705","48084"
"Saline County, Arkansas","29595","66936","76152"
"Scott County, Arkansas","3210","42333","53240"
"Searcy County, Arkansas","2112","39444","48721"
"Sebastian County, Arkansas","32107","50511","69130"
"Sevier County, Arkansas","4142","44267","50699"
"Sharp County, Arkansas","4584","40550","48564"
