"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"DeKalb County, Illinois","22964","71343","80123"
"De Witt County, Illinois","4539","64446","75138"
"Douglas County, Illinois","5306","65220","72194"
"DuPage County, Illinois","238824","95208","121635"
"Edgar County, Illinois","5383","51601","63581"
"Edwards County, Illinois","1735","49290","59754"
"Effingham County, Illinois","9212","64204","81228"
"Fayette County, Illinois","5602","52735","63743"
"Ford County, Illinois","3542","60799","73924"
"Franklin County, Illinois","10304","48376","57608"
"Fulton County, Illinois","9627","56215","64412"
"Gallatin County, Illinois","1554","53250","65561"
"Greene County, Illinois","3905","53680","61390"
"Grundy County, Illinois","12791","78918","89008"
"Hamilton County, Illinois","2369","56202","66036"
"Hancock County, Illinois","5470","54700","63928"
"Hardin County, Illinois","1124","46932","63370"
"Henderson County, Illinois","2162","60066","69981"
"Henry County, Illinois","13991","64959","78580"
"Iroquois County, Illinois","8108","58930","71793"
"Jackson County, Illinois","11948","52697","71306"
"Jasper County, Illinois","2772","59406","67101"
"Jefferson County, Illinois","10024","55188","68489"
"Jersey County, Illinois","6492","63789","74088"
"Jo Daviess County, Illinois","6620","63490","83420"
"Johnson County, Illinois","3006","50796","63709"
"Kane County, Illinois","127489","80085","99316"
"Kankakee County, Illinois","28271","61559","71568"
"Kendall County, Illinois","29479","91368","102382"
"Knox County, Illinois","12809","52496","64780"
"Lake County, Illinois","179071","92116","124253"
"LaSalle County, Illinois","29720","64693","74561"
"Lawrence County, Illinois","3322","48269","59501"
"Lee County, Illinois","9026","62194","76965"
"Livingston County, Illinois","9767","64978","77660"
"Logan County, Illinois","7189","62765","72456"
"McDonough County, Illinois","6853","54058","66672"
"McHenry County, Illinois","82541","87760","100082"
"McLean County, Illinois","39616","83812","99482"
"Macon County, Illinois","28016","59733","76112"
"Macoupin County, Illinois","13273","60309","69200"
"Madison County, Illinois","71740","67064","79372"
"Marion County, Illinois","10463","52408","61194"
"Marshall County, Illinois","3238","62827","73960"
"Mason County, Illinois","4164","56188","63769"
"Massac County, Illinois","3906","55256","64715"
"Menard County, Illinois","3433","73969","82960"
"Mercer County, Illinois","4871","63831","73280"
"Monroe County, Illinois","9420","81766","95940"
"Montgomery County, Illinois","7523","54529","64525"
"Morgan County, Illinois","9038","62224","72336"
"Moultrie County, Illinois","4018","55610","66338"
"Ogle County, Illinois","13890","69172","78162"
"Peoria County, Illinois","46921","65884","83432"
"Perry County, Illinois","5049","53689","63017"
"Piatt County, Illinois","4717","73890","87527"
"Pike County, Illinois","4484","49542","59373"
"Pope County, Illinois","1153","45551","56755"
"Pulaski County, Illinois","1501","45764","58656"
"Putnam County, Illinois","1666","68179","76514"
"Randolph County, Illinois","8041","60224","68202"
"Richland County, Illinois","4198","57038","69341"
"Rock Island County, Illinois","37698","62123","76031"
"St. Clair County, Illinois","69284","63373","78428"
"Saline County, Illinois","6640","47023","63458"
"Sangamon County, Illinois","51964","71338","85520"
"Schuyler County, Illinois","2166","58547","66131"
"Scott County, Illinois","1444","61563","71577"
"Shelby County, Illinois","6314","56074","64172"
"Stark County, Illinois","1655","62993","70583"
"Stephenson County, Illinois","12450","54367","64499"
"Tazewell County, Illinois","37329","68994","80657"
"Union County, Illinois","4672","48879","63008"
"Vermilion County, Illinois","20166","51986","61571"
"Wabash County, Illinois","3329","61412","70815"
"Warren County, Illinois","4530","53887","65452"
"Washington County, Illinois","4080","64959","73130"
"Wayne County, Illinois","4952","54060","61363"
"White County, Illinois","4253","56110","72574"
"Whiteside County, Illinois","15709","58305","67864"
"Will County, Illinois","171130","86747","100779"
"Williamson County, Illinois","17749","54242","67066"
"Winnebago County, Illinois","74655","58536","71860"
"Woodford County, Illinois","10979","78590","93619"
"Adams County, Indiana","8671","56345","64431"
"Allen County, Indiana","90579","60867","76123"
"Bartholomew County, Indiana","20674","64614","79825"
"Benton County, Indiana","2336","57079","66313"
"Blackford County, Indiana","3625","45310","53525"
"Boone County, Indiana","16166","80907","115866"
"Brown County, Indiana","4141","59221","73300"
"Carroll County, Indiana","5551","60427","70772"
"Cass County, Indiana","10077","50753","62018"
"Clark County, Indiana","28306","60754","71145"
"Clay County, Indiana","7356","57826","63606"
"Clinton County, Indiana","8408","57960","65801"
"Crawford County, Indiana","2889","46628","56829"
"Daviess County, Indiana","7936","56684","68359"
"Dearborn County, Indiana","13262","70251","83774"
"Decatur County, Indiana","6830","54432","64161"
"DeKalb County, Indiana","11486","56561","68035"
"Delaware County, Indiana","27873","51591","65136"
"Dubois County, Indiana","11401","66988","75740"
"Elkhart County, Indiana","50812","53154","65090"
"Fayette County, Indiana","6461","46311","54243"
"Floyd County, Indiana","20169","66670","79634"
"Fountain County, Indiana","4715","54191","64933"
"Franklin County, Indiana","6452","63675","73205"
"Fulton County, Indiana","5796","47724","59950"
"Gibson County, Indiana","9167","61861","71915"
"Grant County, Indiana","17507","49685","60459"
"Greene County, Indiana","8979","54728","63798"
"Hamilton County, Indiana","76696","99768","122879"
"Hancock County, Indiana","19490","72559","82156"
"Harrison County, Indiana","10220","59691","69447"
"Hendricks County, Indiana","40056","79943","90791"
"Henry County, Indiana","12399","51172","59981"
"Howard County, Indiana","22475","57615","68834"
"Huntington County, Indiana","9769","57067","67667"
"Jackson County, Indiana","11506","56297","64518"
"Jasper County, Indiana","9147","67259","72216"
"Jay County, Indiana","5506","47376","56365"
"Jefferson County, Indiana","8478","52922","62481"
"Jennings County, Indiana","7320","51657","59724"
"Johnson County, Indiana","37560","73059","86606"
"Knox County, Indiana","9529","53840","63444"
"Kosciusko County, Indiana","21184","60725","73482"
"LaGrange County, Indiana","9255","51922","67498"
"Lake County, Indiana","122309","60080","72596"
"LaPorte County, Indiana","28009","58674","68521"
"Lawrence County, Indiana","13164","52567","63190"
"Madison County, Indiana","32706","54074","63589"
"Marion County, Indiana","213144","52417","69572"
"Marshall County, Indiana","12253","57613","66311"
"Martin County, Indiana","2709","55776","65056"
"Miami County, Indiana","9102","53154","60950"
"Monroe County, Indiana","27437","62959","78236"
"Montgomery County, Indiana","10259","53218","63995"
"Morgan County, Indiana","19354","63148","75563"
"Newton County, Indiana","3859","57870","71913"
"Noble County, Indiana","12703","57363","65377"
"Ohio County, Indiana","1679","59539","70027"
"Orange County, Indiana","5209","46454","53347"
"Owen County, Indiana","6084","51503","59936"
"Parke County, Indiana","4142","52130","65475"
"Perry County, Indiana","4953","57732","64671"
"Pike County, Indiana","3696","50069","63074"
"Porter County, Indiana","43450","76004","86649"
"Posey County, Indiana","7432","73319","83673"
"Pulaski County, Indiana","3604","53822","62508"
"Putnam County, Indiana","9072","59037","70908"
"Randolph County, Indiana","7056","47682","60409"
"Ripley County, Indiana","7773","59022","67643"
"Rush County, Indiana","4933","56923","66901"
"St. Joseph County, Indiana","65452","56861","71505"
"Scott County, Indiana","6353","48435","59350"
"Shelby County, Indiana","11897","60234","69481"
"Spencer County, Indiana","5795","64930","69779"
"Starke County, Indiana","6349","46205","56364"
"Steuben County, Indiana","9580","56300","67570"
"Sullivan County, Indiana","5462","55748","63361"
"Switzerland County, Indiana","2990","48689","56316"
"Tippecanoe County, Indiana","38212","63086","79670"
"Tipton County, Indiana","4845","60757","69380"
"Union County, Indiana","2018","57330","61267"
"Vanderburgh County, Indiana","44977","58352","70915"
"Vermillion County, Indiana","4255","50674","59573"
"Vigo County, Indiana","24490","52203","66495"
"Wabash County, Indiana","9026","52204","60777"
"Warren County, Indiana","2429","61784","82437"
"Warrick County, Indiana","17003","72764","90236"
"Washington County, Indiana","7445","50107","62984"
"Wayne County, Indiana","18814","48417","59168"
"Wells County, Indiana","7833","57459","70281"
"White County, Indiana","6846","60995","67780"
"Whitley County, Indiana","9219","61149","70159"
"Adair County, Iowa","2071","60232","71183"
"Adams County, Iowa","1182","56552","63304"
"Allamakee County, Iowa","3900","56269","67072"
"Appanoose County, Iowa","3478","51142","59024"
"Audubon County, Iowa","1692","61845","84810"
"Benton County, Iowa","7408","69676","76606"
"Black Hawk County, Iowa","31212","61495","72828"
"Boone County, Iowa","6837","67769","80034"
"Bremer County, Iowa","6546","75486","86450"
"Buchanan County, Iowa","5867","69097","82609"
"Buena Vista County, Iowa","4915","58937","72727"
"Butler County, Iowa","4367","63153","71095"
"Calhoun County, Iowa","2902","55234","69407"
"Carroll County, Iowa","5661","64495","71444"
"Cass County, Iowa","3930","52403","66512"
"Cedar County, Iowa","5348","66176","73302"
"Cerro Gordo County, Iowa","11746","61804","76010"
"Cherokee County, Iowa","3351","61634","71185"
"Chickasaw County, Iowa","3664","55735","65698"
"Clarke County, Iowa","2263","59972","71096"
"Clay County, Iowa","4510","64651","85399"
"Clayton County, Iowa","5192","57348","68707"
"Clinton County, Iowa","13047","63452","73719"
"Crawford County, Iowa","4392","57067","68392"
"Dallas County, Iowa","18882","90092","108720"
"Davis County, Iowa","2162","51772","66754"
"Decatur County, Iowa","2046","46275","59279"
"Delaware County, Iowa","5019","68096","75108"
"Des Moines County, Iowa","10871","53237","67567"
"Dickinson County, Iowa","5271","64798","82401"
"Dubuque County, Iowa","24280","66046","78145"
"Emmet County, Iowa","2661","63310","84840"
"Fayette County, Iowa","5256","60296","67776"
"Floyd County, Iowa","4593","56004","67137"
"Franklin County, Iowa","3023","54625","72047"
"Fremont County, Iowa","2030","61389","77353"
"Greene County, Iowa","2606","57150","74563"
"Grundy County, Iowa","3539","70837","90353"
"Guthrie County, Iowa","3294","62036","77818"
"Hamilton County, Iowa","4139","58135","67296"
"Hancock County, Iowa","3140","60921","71138"
"Hardin County, Iowa","4611","64360","72873"
"Harrison County, Iowa","4138","67468","74888"
"Henry County, Iowa","5090","58504","67739"
"Howard County, Iowa","2440","55582","68057"
"Humboldt County, Iowa","2832","62143","72844"
"Ida County, Iowa","2011","58470","72466"
"Iowa County, Iowa","4758","73465","77270"
"Jackson County, Iowa","5825","56474","68134"
"Jasper County, Iowa","9983","63418","71206"
"Jefferson County, Iowa","4087","60989","80190"
"Johnson County, Iowa","29043","79964","97513"
"Jones County, Iowa","5554","64955","77031"
"Keokuk County, Iowa","2711","54323","62683"
"Kossuth County, Iowa","4368","64283","81364"
"Lee County, Iowa","9296","55274","64106"
"Linn County, Iowa","53672","75761","88676"
"Louisa County, Iowa","3069","57545","68701"
"Lucas County, Iowa","2474","55547","58634"
"Lyon County, Iowa","3145","62459","72269"
"Madison County, Iowa","4219","68812","80931"
"Mahaska County, Iowa","5823","59173","69074"
"Marion County, Iowa","9000","69241","76681"
"Marshall County, Iowa","10517","60501","71509"
"Mills County, Iowa","4034","75167","82876"
"Mitchell County, Iowa","2926","66895","70073"
"Monona County, Iowa","2514","57292","69590"
"Monroe County, Iowa","2247","56887","66809"
"Montgomery County, Iowa","3079","53586","63101"
"Muscatine County, Iowa","11437","60616","72947"
"O'Brien County, Iowa","3853","63912","81344"
"Osceola County, Iowa","1833","63939","70874"
"Page County, Iowa","4164","57784","67472"
"Palo Alto County, Iowa","2399","60550","71270"
"Plymouth County, Iowa","6979","73086","81980"
"Pocahontas County, Iowa","1921","56607","70050"
"Polk County, Iowa","112738","73043","90119"
"Pottawattamie County, Iowa","24736","63669","75304"
"Poweshiek County, Iowa","4783","66827","75337"
"Ringgold County, Iowa","1395","53353","62176"
"Sac County, Iowa","2843","61942","73419"
"Scott County, Iowa","42490","70480","86363"
"Shelby County, Iowa","3364","62273","74520"
"Sioux County, Iowa","8819","67067","79885"
"Story County, Iowa","18849","76860","89733"
"Tama County, Iowa","4905","60657","73024"
"Taylor County, Iowa","1840","51701","63540"
"Union County, Iowa","3448","55380","65640"
"Van Buren County, Iowa","2095","54591","60256"
"Wapello County, Iowa","9445","51694","63049"
"Warren County, Iowa","12869","74558","85295"
"Washington County, Iowa","6045","66967","76359"
"Wayne County, Iowa","1686","52447","65476"
"Webster County, Iowa","9052","57137","70403"
"Winnebago County, Iowa","3026","61599","69759"
"Winneshiek County, Iowa","5390","66694","76483"
"Woodbury County, Iowa","25522","57202","69797"
"Worth County, Iowa","2235","60159","73463"
"Wright County, Iowa","3354","59070","71279"
"Allen County, Kansas","3588","50344","57629"
"Anderson County, Kansas","2289","54962","64753"
"Atchison County, Kansas","4063","56271","66845"
"Barber County, Kansas","1436","56048","69942"
"Barton County, Kansas","7384","56250","69405"
"Bourbon County, Kansas","3850","50231","57980"
"Brown County, Kansas","2632","52456","60848"
"Butler County, Kansas","17274","70484","84891"
"Chase County, Kansas","728","56346","63733"
"Chautauqua County, Kansas","1091","45221","56562"
"Cherokee County, Kansas","5518","51748","60219"
"Cheyenne County, Kansas","820","53571","61779"
"Clark County, Kansas","613","52083","74425"
"Clay County, Kansas","2239","57236","69564"
"Cloud County, Kansas","2446","45688","55070"
"Coffey County, Kansas","2425","66026","76295"
"Comanche County, Kansas","504","55431","60103"
"Cowley County, Kansas","8964","53091","65484"
"Crawford County, Kansas","9244","50936","66125"
"Decatur County, Kansas","895","44243","66462"
"Dickinson County, Kansas","5445","58884","67833"
"Doniphan County, Kansas","2137","57530","66978"
"Douglas County, Kansas","23609","70955","89125"
"Edwards County, Kansas","831","55114","68110"
"Elk County, Kansas","828","43500","51129"
"Ellis County, Kansas","6431","63712","76205"
"Ellsworth County, Kansas","1616","58566","70523"
"Finney County, Kansas","8985","56111","69587"
"Ford County, Kansas","8039","57380","65875"
"Franklin County, Kansas","6834","58750","68530"
"Geary County, Kansas","8797","51712","64124"
"Gove County, Kansas","842","51939","70338"
"Graham County, Kansas","738","59000","78109"
"Grant County, Kansas","2197","59306","81058"
"Gray County, Kansas","1567","63875","77744"
"Greeley County, Kansas","347","58875","88510"
"Greenwood County, Kansas","1859","53288","61211"
"Hamilton County, Kansas","743","51953","70568"
"Harper County, Kansas","1662","48333","62817"
"Harvey County, Kansas","9152","65591","72046"
"Haskell County, Kansas","1052","60125","76090"
"Hodgeman County, Kansas","596","67000","83168"
"Jackson County, Kansas","3869","63807","70288"
"Jefferson County, Kansas","5338","67439","75764"
"Jewell County, Kansas","962","51957","59958"
"Johnson County, Kansas","146900","92512","117261"
"Kearny County, Kansas","958","60735","68315"
"Kingman County, Kansas","2150","58299","66555"
"Kiowa County, Kansas","680","57647","67634"
"Labette County, Kansas","5732","49907","64814"
"Lane County, Kansas","447","64886","84172"
"Leavenworth County, Kansas","18607","77727","87214"
"Lincoln County, Kansas","898","54167","60204"
"Linn County, Kansas","3046","52761","71276"
"Logan County, Kansas","760","59412","68860"
"Lyon County, Kansas","7791","51106","62194"
"McPherson County, Kansas","8086","68039","80045"
"Marion County, Kansas","3333","57375","63733"
"Marshall County, Kansas","2786","60625","69072"
"Meade County, Kansas","1287","54093","62139"
"Miami County, Kansas","8986","73528","85458"
"Mitchell County, Kansas","1770","61486","76622"
"Montgomery County, Kansas","9105","52583","60674"
"Morris County, Kansas","1628","57161","68963"
"Morton County, Kansas","891","51250","64450"
"Nemaha County, Kansas","2832","61696","73598"
"Neosho County, Kansas","4425","49915","59424"
"Ness County, Kansas","899","61940","84325"
"Norton County, Kansas","1376","63182","67558"
"Osage County, Kansas","4635","62512","71090"
"Osborne County, Kansas","1077","49073","63981"
"Ottawa County, Kansas","1761","66085","75658"
"Pawnee County, Kansas","1601","56750","70511"
"Phillips County, Kansas","1587","55102","64968"
"Pottawatomie County, Kansas","5627","71259","80108"
"Pratt County, Kansas","2626","60000","77272"
"Rawlins County, Kansas","785","55551","66726"
"Reno County, Kansas","16996","54770","67580"
"Republic County, Kansas","1375","52944","67661"
"Rice County, Kansas","2688","57196","69078"
"Riley County, Kansas","13786","63634","78522"
"Rooks County, Kansas","1473","53029","64782"
"Rush County, Kansas","928","52727","61136"
"Russell County, Kansas","2054","48132","64645"
"Saline County, Kansas","14581","55970","71321"
"Scott County, Kansas","1453","55938","67517"
"Sedgwick County, Kansas","124837","63042","77443"
"Seward County, Kansas","5462","52529","63289"
"Shawnee County, Kansas","45929","63230","77256"
"Sheridan County, Kansas","689","57244","69150"
"Sherman County, Kansas","1634","46154","58819"
"Smith County, Kansas","1183","51914","69211"
"Stafford County, Kansas","1224","56667","66396"
"Stanton County, Kansas","570","50948","65444"
"Stevens County, Kansas","1446","63438","79007"
"Sumner County, Kansas","6113","61676","70474"
"Thomas County, Kansas","1689","71777","93968"
"Trego County, Kansas","813","56090","67539"
"Wabaunsee County, Kansas","1998","65417","70448"
"Wallace County, Kansas","428","59038","78420"
"Washington County, Kansas","1620","55034","63907"
"Wichita County, Kansas","621","54952","64099"
"Wilson County, Kansas","2585","48174","56010"
"Woodson County, Kansas","926","47159","60216"
"Wyandotte County, Kansas","36955","47025","57079"
"Adair County, Kentucky","4948","45463","52156"
"Allen County, Kentucky","5629","49378","57221"
"Anderson County, Kentucky","6032","64806","68344"
"Ballard County, Kentucky","2265","56414","72838"
"Barren County, Kentucky","11733","51272","56975"
"Bath County, Kentucky","3072","36823","48880"
"Bell County, Kentucky","7549","31816","43099"
"Boone County, Kentucky","32123","78101","90615"
"Bourbon County, Kentucky","5407","48310","65454"
"Boyd County, Kentucky","13232","53328","74245"
"Boyle County, Kentucky","7472","49654","65204"
"Bracken County, Kentucky","2164","55526","64544"
"Breathitt County, Kentucky","3432","28825","42857"
"Breckinridge County, Kentucky","5178","46870","54460"
"Bullitt County, Kentucky","20986","62514","71290"
"Butler County, Kentucky","3684","45314","51598"
"Caldwell County, Kentucky","3516","48478","58894"
"Calloway County, Kentucky","8773","56752","69344"
"Campbell County, Kentucky","22673","69837","81785"
"Carlisle County, Kentucky","1534","47667","59780"
"Carroll County, Kentucky","2863","46281","57883"
"Carter County, Kentucky","7151","44210","56201"
"Casey County, Kentucky","4214","41516","47701"
"Christian County, Kentucky","18397","45583","59264"
"Clark County, Kentucky","10269","57583","70317"
"Clay County, Kentucky","4939","30085","41129"
"Clinton County, Kentucky","2585","31364","46393"
"Crittenden County, Kentucky","2451","48083","64457"
"Cumberland County, Kentucky","1708","37620","46361"
"Daviess County, Kentucky","25866","57866","67025"
"Edmonson County, Kentucky","3429","47637","56541"
"Elliott County, Kentucky","1773","33786","43043"
"Estill County, Kentucky","3968","36327","46089"
"Fayette County, Kentucky","71828","67973","89100"
"Fleming County, Kentucky","3913","45490","57401"
"Floyd County, Kentucky","10638","37838","51011"
"Franklin County, Kentucky","12760","58556","71466"
"Fulton County, Kentucky","1781","39274","50877"
"Gallatin County, Kentucky","2052","48984","58036"
"Garrard County, Kentucky","4791","55105","61266"
"Grant County, Kentucky","6427","51866","63370"
"Graves County, Kentucky","10029","50693","63161"
"Grayson County, Kentucky","6803","41216","55995"
"Green County, Kentucky","3221","44338","53224"
"Greenup County, Kentucky","10204","53746","64851"
"Hancock County, Kentucky","2610","54461","62882"
"Hardin County, Kentucky","28277","58565","70504"
"Harlan County, Kentucky","8039","33791","46994"
"Harrison County, Kentucky","4643","51177","62443"
"Hart County, Kentucky","5011","42359","52230"
"Henderson County, Kentucky","12498","54654","65935"
"Henry County, Kentucky","4351","53557","64662"
"Hickman County, Kentucky","1196","46549","53509"
"Hopkins County, Kentucky","12646","51596","62873"
"Jackson County, Kentucky","3985","29749","41736"
"Jefferson County, Kentucky","187930","61622","80934"
"Jessamine County, Kentucky","13441","58733","77973"
"Johnson County, Kentucky","6635","41981","57097"
"Kenton County, Kentucky","40067","66229","82971"
"Knott County, Kentucky","4067","43684","56613"
"Knox County, Kentucky","8237","32879","43791"
"Larue County, Kentucky","3866","50559","58064"
"Laurel County, Kentucky","16887","43075","58984"
"Lawrence County, Kentucky","4136","42182","51043"
"Lee County, Kentucky","1910","30036","42235"
"Leslie County, Kentucky","2992","37796","47690"
"Letcher County, Kentucky","6467","44104","53187"
"Lewis County, Kentucky","3630","40119","50152"
"Lincoln County, Kentucky","6896","43121","51424"
"Livingston County, Kentucky","2665","47075","57891"
"Logan County, Kentucky","7455","47378","55207"
"Lyon County, Kentucky","1903","55125","65278"
"McCracken County, Kentucky","17563","57709","75381"
"McCreary County, Kentucky","4535","30543","38288"
"McLean County, Kentucky","2651","47436","57341"
"Madison County, Kentucky","20544","54652","67453"
"Magoffin County, Kentucky","3530","34600","44050"
"Marion County, Kentucky","4755","47360","57129"
"Marshall County, Kentucky","8784","54460","64668"
"Martin County, Kentucky","3235","31922","45587"
"Mason County, Kentucky","4666","48486","69505"
"Meade County, Kentucky","7872","50574","63409"
"Menifee County, Kentucky","1608","33897","46823"
"Mercer County, Kentucky","5996","58533","65793"
"Metcalfe County, Kentucky","2717","40943","51283"
"Monroe County, Kentucky","2865","39949","49245"
"Montgomery County, Kentucky","6773","45434","62024"
"Morgan County, Kentucky","3503","41116","52217"
"Muhlenberg County, Kentucky","8579","44874","57903"
"Nelson County, Kentucky","12171","54708","69969"
"Nicholas County, Kentucky","1974","48164","56652"
"Ohio County, Kentucky","6369","44200","56405"
"Oldham County, Kentucky","15915","91587","113197"
"Owen County, Kentucky","3121","60356","67663"
"Owsley County, Kentucky","1129","29973","44591"
"Pendleton County, Kentucky","3561","57357","68533"
"Perry County, Kentucky","7587","40814","53168"
"Pike County, Kentucky","17962","42210","54421"
"Powell County, Kentucky","2989","39010","47647"
"Pulaski County, Kentucky","17797","44363","59911"
"Robertson County, Kentucky","552","49643","53416"
"Rockcastle County, Kentucky","4808","39404","49915"
"Rowan County, Kentucky","5350","47044","56523"
"Russell County, Kentucky","4774","37256","47098"
"Scott County, Kentucky","13054","71455","83456"
"Shelby County, Kentucky","11749","70044","83364"
"Simpson County, Kentucky","4547","47303","57529"
"Spencer County, Kentucky","5122","69980","79793"
"Taylor County, Kentucky","6580","46250","54792"
"Todd County, Kentucky","3306","51241","54696"
"Trigg County, Kentucky","4197","53893","70990"
"Trimble County, Kentucky","2558","57174","61801"
"Union County, Kentucky","4008","45143","58502"
"Warren County, Kentucky","27838","60772","75297"
"Washington County, Kentucky","3322","48578","57596"
"Wayne County, Kentucky","5770","36059","47254"
"Webster County, Kentucky","3667","54448","61094"
"Whitley County, Kentucky","9379","37441","48664"
"Wolfe County, Kentucky","1736","30407","42890"
"Woodford County, Kentucky","6606","71995","88357"
"Acadia Parish, Louisiana","15841","46159","60707"
"Allen Parish, Louisiana","5436","48306","61336"
"Ascension Parish, Louisiana","29532","77640","86317"
"Assumption Parish, Louisiana","6162","55603","67011"
"Avoyelles Parish, Louisiana","10887","40311","56490"
"Beauregard Parish, Louisiana","9505","59364","68615"
"Bienville Parish, Louisiana","3690","42271","56048"
"Bossier Parish, Louisiana","30219","67961","81659"
"Caddo Parish, Louisiana","61452","52823","72095"
"Calcasieu Parish, Louisiana","50632","55484","73525"
"Caldwell Parish, Louisiana","2643","47327","61519"
"Cameron Parish, Louisiana","1899","71310","90346"
"Catahoula Parish, Louisiana","2634","44627","62776"
"Claiborne Parish, Louisiana","3694","39539","55105"
"Concordia Parish, Louisiana","5270","38125","50732"
"De Soto Parish, Louisiana","7175","51734","62680"
"East Baton Rouge Parish, Louisiana","103104","63558","84827"
"East Carroll Parish, Louisiana","1620","30840","43689"
"East Feliciana Parish, Louisiana","5043","54664","68374"
"Evangeline Parish, Louisiana","8524","41022","54204"
"Franklin Parish, Louisiana","5213","40147","54662"
"Grant Parish, Louisiana","4905","47832","61040"
"Iberia Parish, Louisiana","18903","51402","70956"
"Iberville Parish, Louisiana","7829","54191","70828"
"Jackson Parish, Louisiana","4444","45490","57732"
"Jefferson Parish, Louisiana","107787","61131","79532"
"Jefferson Davis Parish, Louisiana","8334","51772","64953"
"Lafayette Parish, Louisiana","54098","67061","87196"
"Lafourche Parish, Louisiana","25284","59941","75090"
"LaSalle Parish, Louisiana","4099","55587","69891"
"Lincoln Parish, Louisiana","10300","51206","70317"
"Livingston Parish, Louisiana","34363","66164","76656"
"Madison Parish, Louisiana","2447","33063","44587"
"Morehouse Parish, Louisiana","7037","39570","50212"
"Natchitoches Parish, Louisiana","9585","47936","66981"
"Orleans Parish, Louisiana","78318","46512","74429"
"Ouachita Parish, Louisiana","37849","50992","68263"
"Plaquemines Parish, Louisiana","6401","66800","80427"
"Pointe Coupee Parish, Louisiana","5753","59064","72422"
"Rapides Parish, Louisiana","31097","51092","67798"
"Red River Parish, Louisiana","2362","46024","64440"
"Richland Parish, Louisiana","5586","45070","54948"
"Sabine Parish, Louisiana","6162","46816","64681"
"St. Bernard Parish, Louisiana","9908","45087","58354"
"St. Charles Parish, Louisiana","14084","66392","80555"
"St. Helena Parish, Louisiana","2990","40590","54049"
"St. James Parish, Louisiana","6049","63632","76737"
"St. John the Baptist Parish, Louisiana","11401","56540","66876"
"St. Landry Parish, Louisiana","21473","45574","59461"
"St. Martin Parish, Louisiana","13059","54589","68352"
"St. Mary Parish, Louisiana","14038","48754","61901"
"St. Tammany Parish, Louisiana","63510","74834","92854"
"Tangipahoa Parish, Louisiana","29928","53101","65970"
"Tensas Parish, Louisiana","1369","35328","53469"
"Terrebonne Parish, Louisiana","27821","60417","75386"
"Union Parish, Louisiana","6012","48125","56508"
"Vermilion Parish, Louisiana","15568","54061","68946"
"Vernon Parish, Louisiana","13446","51718","62162"
"Washington Parish, Louisiana","11768","41963","54653"
"Webster Parish, Louisiana","10756","44436","56290"
"West Baton Rouge Parish, Louisiana","6448","64567","73602"
"West Carroll Parish, Louisiana","2883","44018","56991"
"West Feliciana Parish, Louisiana","2981","75613","88360"
"Winn Parish, Louisiana","3873","45200","54726"
"Androscoggin County, Maine","27529","57444","69612"
"Aroostook County, Maine","19203","50779","60334"
"Cumberland County, Maine","72171","75432","95853"
"Franklin County, Maine","7937","50251","61684"
"Hancock County, Maine","15198","60022","72571"
"Kennebec County, Maine","32535","59915","71720"
"Knox County, Maine","10717","60581","74543"
"Lincoln County, Maine","9670","59398","73482"
"Oxford County, Maine","14635","49920","59719"
"Penobscot County, Maine","39131","56155","69408"
"Piscataquis County, Maine","5113","45917","57776"
"Sagadahoc County, Maine","9713","69561","77642"
"Somerset County, Maine","14213","50051","59540"
"Waldo County, Maine","10519","52614","62460"
"Washington County, Maine","8911","45117","55371"
"York County, Maine","53010","70642","82731"
"Allegany County, Maryland","17349","54022","65684"
"Anne Arundel County, Maryland","138458","101268","122127"
"Baltimore County, Maryland","204449","81116","102340"
"Calvert County, Maryland","23573","107684","118540"
"Caroline County, Maryland","8457","66471","75645"
"Carroll County, Maryland","44526","100643","113289"
"Cecil County, Maryland","26555","79128","90149"
"Charles County, Maryland","37777","104078","116654"
"Dorchester County, Maryland","9199","57893","71474"
"Frederick County, Maryland","62940","98259","111651"
"Garrett County, Maryland","8314","56341","68234"
"Harford County, Maryland","66487","92642","106672"
"Howard County, Maryland","78834","128657","149530"
"Kent County, Maryland","4751","72360","93234"
"Montgomery County, Maryland","248311","117408","153144"
"Prince George's County, Maryland","200498","84808","99622"
"Queen Anne's County, Maryland","13111","97909","112818"
"St. Mary's County, Maryland","28038","95186","109793"
"Somerset County, Maryland","4979","53413","61713"
"Talbot County, Maryland","10866","74811","101579"
"Washington County, Maryland","37646","66435","79527"
"Wicomico County, Maryland","24644","59379","74694"
"Worcester County, Maryland","13452","68840","90226"
"Baltimore city, Maryland","125055","50151","70903"
"Barnstable County, Massachusetts","59553","76311","96969"
"Berkshire County, Massachusetts","32794","65216","83923"
"Bristol County, Massachusetts","138396","72018","87236"
"Dukes County, Massachusetts","3879","82452","95849"
"Essex County, Massachusetts","189950","84185","107156"
"Franklin County, Massachusetts","18339","67785","79591"
"Hampden County, Massachusetts","115839","61474","77022"
"Hampshire County, Massachusetts","34661","81385","96235"
"Middlesex County, Massachusetts","371061","104032","133033"
"Nantucket County, Massachusetts","2462","92500","135463"
"Norfolk County, Massachusetts","169375","108943","141594"
"Plymouth County, Massachusetts","127961","90431","110459"
"Suffolk County, Massachusetts","141599","61449","91237"
