"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Hopewell city, Virginia","Hopewell city, Virginia",5300,47214,56923
"Lexington city, Virginia","Lexington city, Virginia",855,57868,73742
"Lynchburg city, Virginia","Lynchburg city, Virginia",16060,50676,69440
"Manassas city, Virginia","Manassas city, Virginia",9054,75810,94843
"Manassas Park city, Virginia","Manassas Park city, Virginia",3331,74552,91162
"Martinsville city, Virginia","Martinsville city, Virginia",3408,40875,54505
"Newport News city, Virginia","Newport News city, Virginia",43720,59514,72852
"Norfolk city, Virginia","Norfolk city, Virginia",49478,51986,71327
"Norton city, Virginia","Norton city, Virginia",902,56290,71430
"Petersburg city, Virginia","Petersburg city, Virginia",7283,40559,50979
"Poquoson city, Virginia","Poquoson city, Virginia",3421,98848,114482
"Portsmouth city, Virginia","Portsmouth city, Virginia",23689,53632,64757
"Radford city, Virginia","Radford city, Virginia",2409,57450,67217
"Richmond city, Virginia","Richmond city, Virginia",40329,48681,79119
"Roanoke city, Virginia","Roanoke city, Virginia",23116,48879,63270
"Salem city, Virginia","Salem city, Virginia",6226,60742,80777
"Staunton city, Virginia","Staunton city, Virginia",5939,61671,72057
"Suffolk city, Virginia","Suffolk city, Virginia",22396,78565,88339
"Virginia Beach city, Virginia","Virginia Beach city, Virginia",112631,76285,92877
"Waynesboro city, Virginia","Waynesboro city, Virginia",5370,57726,65929
"Williamsburg city, Virginia","Williamsburg city, Virginia",2276,64329,93411
"Winchester city, Virginia","Winchester city, Virginia",5666,56967,78874
"Barbour County, West Virginia","Barbour County, West Virginia",4299,44395,52280
"Berkeley County, West Virginia","Berkeley County, West Virginia",28434,61575,75792
"Boone County, West Virginia","Boone County, West Virginia",6864,54315,62656
"Braxton County, West Virginia","Braxton County, West Virginia",3845,43884,54010
"Brooke County, West Virginia","Brooke County, West Virginia",6521,55605,62628
"Cabell County, West Virginia","Cabell County, West Virginia",24174,52300,69492
"Calhoun County, West Virginia","Calhoun County, West Virginia",2101,41920,49925
"Clay County, West Virginia","Clay County, West Virginia",2434,42629,49328
"Doddridge County, West Virginia","Doddridge County, West Virginia",1930,43622,49578
"Fayette County, West Virginia","Fayette County, West Virginia",11508,42182,53234
"Gilmer County, West Virginia","Gilmer County, West Virginia",1615,49852,58518
"Grant County, West Virginia","Grant County, West Virginia",3022,51667,56393
"Greenbrier County, West Virginia","Greenbrier County, West Virginia",10005,48487,60152
"Hampshire County, West Virginia","Hampshire County, West Virginia",4657,45831,54323
"Hancock County, West Virginia","Hancock County, West Virginia",8542,49200,64918
"Hardy County, West Virginia","Hardy County, West Virginia",3094,43097,53372
"Harrison County, West Virginia","Harrison County, West Virginia",18520,54364,66118
"Jackson County, West Virginia","Jackson County, West Virginia",7810,53355,65805
"Jefferson County, West Virginia","Jefferson County, West Virginia",14034,77447,88527
"Kanawha County, West Virginia","Kanawha County, West Virginia",50847,58481,78221
"Lewis County, West Virginia","Lewis County, West Virginia",4342,44653,59182
"Lincoln County, West Virginia","Lincoln County, West Virginia",6112,42293,52595
"Logan County, West Virginia","Logan County, West Virginia",10392,47700,56763
"McDowell County, West Virginia","McDowell County, West Virginia",5394,30671,40839
"Marion County, West Virginia","Marion County, West Virginia",14742,53822,65707
"Marshall County, West Virginia","Marshall County, West Virginia",9395,51779,66565
"Mason County, West Virginia","Mason County, West Virginia",7295,44401,56299
"Mercer County, West Virginia","Mercer County, West Virginia",16640,44751,57166
"Mineral County, West Virginia","Mineral County, West Virginia",6251,48910,58403
"Mingo County, West Virginia","Mingo County, West Virginia",7592,47986,58247
"Monongalia County, West Virginia","Monongalia County, West Virginia",19147,68101,88386
"Monroe County, West Virginia","Monroe County, West Virginia",4030,46707,53262
"Morgan County, West Virginia","Morgan County, West Virginia",3872,51724,64126
"Nicholas County, West Virginia","Nicholas County, West Virginia",7821,48275,68751
"Ohio County, West Virginia","Ohio County, West Virginia",10837,57865,79720
"Pendleton County, West Virginia","Pendleton County, West Virginia",2091,47745,57506
"Pleasants County, West Virginia","Pleasants County, West Virginia",1957,57604,65453
"Pocahontas County, West Virginia","Pocahontas County, West Virginia",2418,43975,55049
"Preston County, West Virginia","Preston County, West Virginia",8831,52128,62605
"Putnam County, West Virginia","Putnam County, West Virginia",16000,65900,79484
"Raleigh County, West Virginia","Raleigh County, West Virginia",20899,49936,63507
"Randolph County, West Virginia","Randolph County, West Virginia",7527,48547,57980
"Ritchie County, West Virginia","Ritchie County, West Virginia",2600,45615,51337
"Roane County, West Virginia","Roane County, West Virginia",3978,38920,49126
"Summers County, West Virginia","Summers County, West Virginia",3700,44595,51322
"Taylor County, West Virginia","Taylor County, West Virginia",4873,48618,59105
"Tucker County, West Virginia","Tucker County, West Virginia",2087,49677,57448
"Tyler County, West Virginia","Tyler County, West Virginia",2587,47671,54945
"Upshur County, West Virginia","Upshur County, West Virginia",6130,49740,58723
"Wayne County, West Virginia","Wayne County, West Virginia",10975,46749,56569
"Webster County, West Virginia","Webster County, West Virginia",2759,34786,46174
"Wetzel County, West Virginia","Wetzel County, West Virginia",4527,49622,62372
"Wirt County, West Virginia","Wirt County, West Virginia",1591,43795,52567
"Wood County, West Virginia","Wood County, West Virginia",23292,53647,68178
"Wyoming County, West Virginia","Wyoming County, West Virginia",6427,47602,55324
