"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Jim Hogg","Jim Hogg County, Texas",1321,42775,59706
"Jim Wells","Jim Wells County, Texas",10424,47588,66214
"Johnson","Johnson County, Texas",39852,65392,79437
"Jones","Jones County, Texas",3667,51219,60746
"Karnes","Karnes County, Texas",3200,55603,75452
"Kaufman","Kaufman County, Texas",27331,67995,79456
"Kendall","Kendall County, Texas",9865,86750,109904
"Kenedy","Kenedy County, Texas",122,59643,55526
"Kent","Kent County, Texas",257,56016,69883
"Kerr","Kerr County, Texas",13423,55152,73262
"Kimble","Kimble County, Texas",1263,53145,78376
"King","King County, Texas",88,76250,83249
"Kinney","Kinney County, Texas",805,45375,48883
"Kleberg","Kleberg County, Texas",7687,48275,58673
"Knox","Knox County, Texas",953,45208,55513
"Lamar","Lamar County, Texas",13545,50524,62286
"Lamb","Lamb County, Texas",3374,45304,58957
"Lampasas","Lampasas County, Texas",5409,58034,71094
"La Salle","La Salle County, Texas",1197,36632,55296
"Lavaca","Lavaca County, Texas",5517,54765,70344
"Lee","Lee County, Texas",4282,66352,76984
"Leon","Leon County, Texas",4591,54609,69676
"Liberty","Liberty County, Texas",18535,54581,65967
"Limestone","Limestone County, Texas",5655,49121,61242
"Lipscomb","Lipscomb County, Texas",793,64934,94317
"Live Oak","Live Oak County, Texas",2842,49681,61356
"Llano","Llano County, Texas",5305,60285,89425
"Loving","Loving County, Texas",17,88438,96518
"Lubbock","Lubbock County, Texas",65862,56425,74971
"Lynn","Lynn County, Texas",1625,49308,63180
"McCulloch","McCulloch County, Texas",1957,50653,64411
"McLennan","McLennan County, Texas",56760,53085,68741
"McMullen","McMullen County, Texas",154,56591,81226
"Madison","Madison County, Texas",2612,49303,62294
"Marion","Marion County, Texas",2995,46207,53396
"Martin","Martin County, Texas",1156,49643,68458
"Mason","Mason County, Texas",1220,59531,79993
"Matagorda","Matagorda County, Texas",9440,51190,70231
"Maverick","Maverick County, Texas",12950,34762,48307
"Medina","Medina County, Texas",12085,61952,73982
"Menard","Menard County, Texas",580,41250,56472
"Midland","Midland County, Texas",36238,72635,104894
"Milam","Milam County, Texas",6261,49860,63798
"Mills","Mills County, Texas",1325,51540,67537
"Mitchell","Mitchell County, Texas",1921,53022,60145
"Montague","Montague County, Texas",5544,55267,68657
"Montgomery","Montgomery County, Texas",121297,79541,104883
"Moore","Moore County, Texas",5280,53653,64866
"Morris","Morris County, Texas",3551,45989,59275
