"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Murray","Murray County, Georgia",10660,44811,49966
"Muscogee","Muscogee County, Georgia",46771,50999,68848
"Newton","Newton County, Georgia",24968,56113,65445
"Oconee","Oconee County, Georgia",9209,82625,106891
"Oglethorpe","Oglethorpe County, Georgia",3736,57399,62467
"Paulding","Paulding County, Georgia",38553,67668,75315
"Peach","Peach County, Georgia",6848,52500,63575
"Pickens","Pickens County, Georgia",8405,59623,76531
"Pierce","Pierce County, Georgia",5023,47747,60010
"Pike","Pike County, Georgia",4922,61309,69905
"Polk","Polk County, Georgia",10718,48675,57713
"Pulaski","Pulaski County, Georgia",2935,48257,56844
"Putnam","Putnam County, Georgia",6453,51380,75246
"Quitman","Quitman County, Georgia",666,33333,41096
"Rabun","Rabun County, Georgia",4487,50864,63593
"Randolph","Randolph County, Georgia",1957,35914,49573
"Richmond","Richmond County, Georgia",44318,46486,61001
"Rockdale","Rockdale County, Georgia",21428,58441,71794
"Schley","Schley County, Georgia",1264,52391,60141
"Screven","Screven County, Georgia",3380,46591,58554
"Seminole","Seminole County, Georgia",2356,38173,50692
"Spalding","Spalding County, Georgia",16239,50251,60336
"Stephens","Stephens County, Georgia",6550,46972,59700
"Stewart","Stewart County, Georgia",1056,32566,42332
"Sumter","Sumter County, Georgia",7482,43138,55556
"Talbot","Talbot County, Georgia",1884,38993,48807
"Taliaferro","Taliaferro County, Georgia",430,36500,43916
"Tattnall","Tattnall County, Georgia",5423,47204,56901
"Taylor","Taylor County, Georgia",2648,35017,47096
"Telfair","Telfair County, Georgia",3787,33608,42079
"Terrell","Terrell County, Georgia",2327,38007,48541
"Thomas","Thomas County, Georgia",11128,42835,58270
"Tift","Tift County, Georgia",9329,41712,59441
"Toombs","Toombs County, Georgia",6857,46442,60183
"Towns","Towns County, Georgia",2719,45707,56780
"Treutlen","Treutlen County, Georgia",1653,46282,65141
"Troup","Troup County, Georgia",17139,50076,65114
"Turner","Turner County, Georgia",2183,34176,51308
"Twiggs","Twiggs County, Georgia",2146,35901,57673
"Union","Union County, Georgia",6569,47736,59856
"Upson","Upson County, Georgia",7167,43590,52455
"Walker","Walker County, Georgia",18369,50683,63441
"Walton","Walton County, Georgia",22989,60249,71384
"Ware","Ware County, Georgia",8912,46455,60165
"Warren","Warren County, Georgia",1350,34030,50383
"Washington","Washington County, Georgia",4995,45757,55805
"Wayne","Wayne County, Georgia",7328,43465,54097
"Webster","Webster County, Georgia",735,51458,56865
"Wheeler","Wheeler County, Georgia",1495,31556,40913
"White","White County, Georgia",8185,51282,62815
"Whitfield","Whitfield County, Georgia",25735,45728,61366
"Wilcox","Wilcox County, Georgia",1895,38627,47902
"Wilkes","Wilkes County, Georgia",2486,39534,50203
"Wilkinson","Wilkinson County, Georgia",2307,44025,51627
"Worth","Worth County, Georgia",5706,44411,56292
